tsb.adenovirus.ir,pbs.adenovirus.ir,fbs.adenovirus.ir,astm.adenovirus.ir
9.11E-05,0.000254561,0.000374853,0.000370475
8.88E-05,4.50E-05,0.00038946,0.000220731
0.001010293,0.000207556,0.000208476,0.003004936
0.000189807,3.51E-05,1.08E-05,0.001655493
0.00117225,0.000129042,4.38E-06,0.000227677
3.99E-05,7.60E-05,0.000121047,0.002529727
5.49E-05,2.35E-05,0.000121423,0.002127169
7.13E-06,3.72E-05,0.0004026,0.000213979
5.08E-06,2.32E-05,0.000107654,6.42E-05
0.00018479,0.000306696,3.71E-05,0.000128698
1.40E-05,0.000193695,0.00011132,0.000140222
8.26E-05,0.000133241,2.69E-05,6.83E-05
0.000110196,0.000160755,1.43E-05,0.000542604
0.0001391,4.36E-05,1.41E-05,0.000676768
0.000210849,0.000132205,0.000111907,3.48E-05
9.72E-06,9.19E-05,7.36E-06,0.000126665
0.001607864,0.000143982,2.60E-05,0.002171183
0.000226678,2.25E-05,2.67E-05,4.95E-05
0.00036347,9.42E-06,4.96E-05,0.000903777
0.000188609,8.93E-05,2.67E-05,3.40E-05
1.91E-05,3.28E-05,0.000123077,4.16E-05
2.03E-05,3.22E-05,5.37E-05,0.000105245
0.000199516,6.63E-05,0.000129986,2.36E-05
4.64E-05,0.000185502,1.35E-05,4.28E-05
0.000195234,8.00E-05,0.000221821,3.29E-05
0.000187381,2.00E-05,0.0002591,8.55E-05
5.11E-06,2.21E-05,0.000394523,0.00042249
5.84E-06,0.000107913,0.000181366,0.000959684
6.31E-05,1.11E-05,2.37E-05,0.000820017
1.66E-05,0.000239985,1.85E-05,6.66E-05
8.01E-06,3.59E-05,8.28E-05,0.000367732
0.000569371,5.60E-05,0.000167666,0.000209626
0.001533146,7.41E-07,1.66E-05,0.000677835
0.000267169,8.84E-06,8.53E-05,0.000659891
0.000198976,1.65E-05,9.48E-05,7.58E-05
4.03E-05,4.50E-05,6.75E-05,0.000270036
0.000264123,2.65E-05,2.01E-05,0.000811553
6.12E-05,3.55E-05,0.000181271,0.000461536
9.46E-05,1.82E-05,0.000104592,0.000919367
0.000140686,0.000142343,9.42E-05,0.00031098
4.81E-05,4.09E-05,0.0003999,0.000291476
