pbs.norovirus.ir,tsb.norovirus.ir,fbs.norovirus.ir,astm.norovirus.ir
0.000938812,0.000314014,0.001401841,0.001404719
0.000167533,0.000325069,0.001067373,0.000986851
0.000865491,0.003309373,0.000936303,0.009104921
0.000114709,0.000802189,5.05E-05,0.005925739
0.000452716,0.004100393,1.55E-05,0.000913215
0.000279897,0.000137364,0.000434704,0.009842643
8.93E-05,0.000212454,0.000418464,0.007459475
0.000122127,2.27E-05,0.001492246,0.000690559
8.49E-05,2.01E-05,0.000352176,0.000267699
0.001396273,0.000660439,0.000152644,0.000507147
0.000641435,4.68E-05,0.000434034,0.000578776
0.000478578,0.000309699,0.000101919,0.000265269
0.000619346,0.000419055,4.96E-05,0.002484836
0.000160402,0.000560186,5.16E-05,0.002802324
0.000500546,0.000845588,0.000376844,0.000139064
0.000341476,3.34E-05,3.35E-05,0.000525827
0.000502384,0.005608,9.70E-05,0.007609419
9.30E-05,0.000931417,0.000104762,0.0001711
3.59E-05,0.001531014,0.000159981,0.003503305
0.000349616,0.000751002,8.50E-05,0.00012733
0.000138081,8.36E-05,0.00048528,0.000144458
0.000103136,6.38E-05,0.000176552,0.000354204
0.000232318,0.000902428,0.000489106,8.89E-05
0.000652217,0.000205606,4.70E-05,0.000173104
0.000294671,0.000764026,0.00077666,0.000112362
8.24E-05,0.000652358,0.001087013,0.000272608
8.80E-05,2.12E-05,0.001479339,0.001481976
0.000441222,2.44E-05,0.000711413,0.003405203
4.75E-05,0.00019995,7.87E-05,0.002584457
0.000959567,6.37E-05,6.68E-05,0.000278
0.000135754,3.21E-05,0.000295115,0.001219862
0.000228845,0.002606624,0.000571009,0.000918507
3.06E-06,0.005178979,6.35E-05,0.002740535
3.92E-05,0.000777665,0.000308457,0.002730397
4.77E-05,0.000648982,0.000358857,0.000260534
0.000179145,0.000133632,0.000232414,0.001014258
8.30E-05,0.000825553,6.63E-05,0.002647013
0.000126598,0.000267707,0.000614277,0.001524301
7.34E-05,0.000373791,0.000393173,0.003276603
0.000444322,0.000467588,0.000340689,0.001210568
0.000175238,0.000165104,0.001262148,0.001230065
4.71E-05,0.000277212,6.69E-05,0.004122366
7.56E-05,1.95E-05,0.000234279,0.000698824
0.000513331,0.000316706,0.000100194,0.001988383
0.002937265,6.49E-05,8.35E-06,0.000197203
2.23E-05,0.000523576,2.33E-05,0.000301617
0.000177353,6.99E-05,0.00065916,0.001067018
0.000868213,0.000398679,0.000337474,1.96E-05
0.000114341,5.59E-05,0.001073389,0.000145525
0.000300202,0.001059776,0.000588936,0.001603742
0.000218079,0.000338533,0.000162776,0.002724984
0.000163069,0.000179714,5.42E-05,0.000682542
0.000326928,0.00024812,0.000555825,0.00045087
0.000113903,4.15E-05,0.000259241,0.00165104
0.00141446,0.002446531,0.000316763,0.000472236
0.001094987,1.52E-05,0.001432264,5.77E-05
0.000812386,0.001245268,0.000911631,0.000119396
0.00148647,5.24E-05,0.000321082,0.000405955
0.000135025,0.000150931,0.000143795,3.39E-05
7.55E-05,3.91E-05,5.43E-05,0.000238852
0.000104632,0.001408708,0.000526369,0.001463658
0.001003596,0.000137637,3.34E-05,1.43E-05
0.000535906,0.000366905,0.00030954,0.000277878
4.04E-05,7.53E-05,0.000394548,0.000360033
0.001232992,0.000987745,0.000560208,0.002893066
0.000954502,0.002348062,6.44E-05,0.000282351
0.000535452,0.000269612,0.000385895,0.001837854
0.000285888,0.000239322,0.000297388,0.002709195
0.000199607,0.001950468,0.000361529,0.00038105
0.000122922,0.000127977,0.000545038,0.001005726
0.000797253,0.000117225,0.001963954,0.01707694
0.001156266,5.47E-05,9.24E-05,0.000441091
9.98E-05,0.000242349,0.003495859,0.000982447
0.000218899,0.000110433,0.000458649,0.001405183
5.66E-05,2.25E-05,0.001938862,0.002436331
0.000323478,0.000194897,7.40E-05,0.005656779
0.000328321,3.49E-05,0.000391484,0.000109861
0.000637368,0.001896188,4.92E-05,8.48E-05
0.000919614,0.000276168,0.000170352,0.00614058
3.22E-05,4.75E-05,0.001584275,0.00111482
0.000106821,0.000345807,0.000262389,0.001086392
0.000213996,6.01E-05,0.000317315,0.000268681
0.000115759,0.000607351,5.27E-05,0.001088245
9.08E-05,3.37E-05,0.002359913,0.000170918
9.36E-05,0.000557534,4.91E-05,0.004973099
0.000255608,0.000772173,6.94E-05,0.004875183
0.000802343,0.001468472,8.12E-05,0.000162744
0.001647339,7.62E-06,0.007030432,8.68E-06
0.000571412,7.48E-05,0.000442086,0.001308392
0.001333977,0.000300806,0.000395708,0.00168825
8.88E-05,7.72E-06,0.000146932,0.000704854
3.08E-05,0.000876289,7.23E-05,0.000807113
0.000127121,0.001967652,0.000474603,0.000783726
0.000276295,0.000130796,5.21E-05,0.001326819
0.000114852,5.31E-05,0.000135718,0.000495728
0.001353708,0.000117988,3.05E-05,0.001218154
0.000144593,0.000322603,0.00040018,0.00672169
0.000966712,0.000451915,2.39E-05,0.000256053
0.000207018,3.32E-05,0.000328982,5.09E-05
0.000103714,0.000630254,0.000398002,0.000319559
0.000224882,0.000281095,0.000119655,0.000220402
0.000394066,0.001521863,0.001375996,0.000763915
0.00039545,1.72E-05,0.000533235,0.003009288
6.18E-05,0.000357568,0.000368777,0.000603918
0.000220142,0.000757869,0.000396893,9.80E-05
0.001718336,0.000335411,0.000682034,0.001576231
0.000923808,0.000785551,0.00017849,0.001125794
0.000393326,0.000252782,0.00016101,0.003353909
0.000851657,1.31E-06,9.78E-05,0.000368154
0.001494846,0.00067997,0.000110061,0.001365665
0.000252635,0.000199588,0.000333394,0.001163686
0.000207256,6.81E-05,0.001150866,0.000243355
0.000568341,0.00057708,0.000367076,0.005421503
0.000168275,0.000672027,0.001745102,0.001190697
0.000106622,0.000159338,0.000210174,0.002342646
3.98E-05,9.54E-05,0.000193087,2.08E-05
0.005104081,0.000322031,0.000106505,0.000578391
0.000151271,2.05E-05,2.57E-05,0.002562983
6.29E-05,0.000383458,0.000333018,0.00167655
4.84E-05,0.000917646,0.000158852,0.001219172
0.000166493,5.43E-05,0.000261576,6.09E-05
0.000140685,1.45E-06,0.000180291,0.001015083
0.00012599,0.000457678,5.28E-05,0.003216783
6.65E-05,0.000295776,0.00015629,0.000333936
0.000164513,2.18E-05,2.04E-05,0.002197831
0.000198398,0.000715911,0.001133917,0.00081959
4.80E-05,0.001241114,0.000892975,0.006604202
0.000840412,0.002026847,0.000241758,0.000105978
0.00053838,0.000381329,6.87E-05,0.000240551
0.0002614,0.001231913,0.000221757,0.003023929
0.000698117,0.003084507,0.000138602,0.000325308
3.69E-05,2.04E-06,1.17E-05,0.003528287
0.000453882,8.60E-05,0.000253764,0.000298932
0.000230555,0.000115503,0.000646125,0.000288944
0.000117754,0.000417191,1.31E-05,0.001150754
0.000257723,0.000165657,0.000429135,0.000173798
0.000116262,0.0002664,0.000311989,0.000131789
0.000257189,0.002319196,4.29E-05,0.001384393
7.63E-06,0.000388667,0.000179651,0.001729926
0.000482061,0.000420147,0.000502322,0.000714889
0.000117935,0.000468068,0.00063973,0.000755157
0.000119398,0.001020044,7.08E-05,0.006496449
0.001240469,0.000924827,2.58E-05,0.00015058
0.000190137,0.000668848,0.00088064,0.000705907
9.48E-05,0.000214335,0.00028653,0.000958097
1.43E-05,0.000103353,0.000134939,0.004348657
0.000751532,3.99E-05,0.000218866,0.001008052
0.000104808,7.40E-05,5.44E-05,0.001776295
0.000171939,0.000767532,7.86E-05,0.001071485
