Inoculum,TE
T-PBS,0.790630091
T-PBS,1.154669158
T-PBS,1.15362963
T-PBS,0.162601626
T-PBS,2.566340036
T-PBS,0.750516741
T-ASTM Soil Load,0.123863938
T-ASTM Soil Load,9.967238955
T-ASTM Soil Load,0.524871064
T-ASTM Soil Load,1.624672893
T-ASTM Soil Load,2.875267297
T-TSB,0.741048503
T-TSB,2.987074251
T-TSB,1.416310571
T-TSB,0.528977484
T-TSB,2.363283241
T-TSB,0.189126711
T-TSB,4.96459845
T-TSB,2.213422561
T-TSB,4.47605018
T-TSB,1.491066803
T-FBS,0.753342568
T-FBS,1.487493395
T-FBS,3.478711846
T-FBS,0.609065257
T-FBS,0.316616434
T-FBS,0.177517717
L-PBS,54.28900268
L-PBS,53.70629371
L-PBS,47.76919314
L-PBS,54.68548679
L-PBS,46.50625017
L-PBS,58.19729387
L-ASTM Soil Load ,51.34382238
L-ASTM Soil Load ,53.05429864
L-ASTM Soil Load ,40.80553035
L-ASTM Soil Load ,50.0108357
L-ASTM Soil Load ,36.4674134
L-ASTM Soil Load ,24.66234126
L-TSB,69.02954078
L-TSB,29.62908294
L-TSB,0.894882419
L-TSB,13.03787209
L-TSB,12.26017189
L-TSB,14.06440686
L-FBS,40.80930233
L-FBS,34.84550412
L-FBS,39.27685273
L-FBS,15.78099671
L-FBS,26.75617432
L-FBS,39.64019579
